"true_Nc","sample_prop","AFS","method","num_N_hypothesized","N_try_max_factor","mean_bias","median_bias","rmse","cv"
100,0.3,"beta_L_shaped","bhd",15,3,-0.370867027680588,-0.369130434782609,37.4302646219036,0.0820827676605954
100,0.3,"beta_L_shaped","bhd",15,6,-0.394342761565703,-0.385652173913044,39.6116691439452,0.0631023443081261
100,0.3,"beta_L_shaped","bhd",51,3,-0.413706661433951,-0.417826086956522,41.6419493404121,0.0826100566240745
100,0.3,"beta_L_shaped","bhd",51,6,-0.478224381137929,-0.479777777777778,48.0184026370123,0.0847704789005396
100,0.3,"beta_L_shaped","nll",15,3,-0.685426363160465,-0.686521739130435,68.5671090484891,0.0594316042425437
100,0.3,"beta_L_shaped","nll",15,6,-0.658869931133724,-0.659347826086957,65.9003676660972,0.0397210660268382
100,0.3,"beta_L_shaped","nll",51,3,-0.729787510255188,-0.736170212765958,73.0075446606989,0.077439627927093
100,0.3,"beta_L_shaped","nll",51,6,-0.704728041656155,-0.707659574468085,70.4893161899681,0.0527343443973718
100,0.3,"beta_L_shaped","sherwin",15,3,-0.687444140938242,-0.686521739130435,68.7673621362037,0.0580068799690927
100,0.3,"beta_L_shaped","sherwin",15,6,-0.661048095384932,-0.659777777777778,66.1185165371234,0.0405369928526752
100,0.3,"beta_L_shaped","sherwin",51,3,-0.735235626197217,-0.736222222222222,73.5268495429319,0.0267998731704093
100,0.3,"beta_L_shaped","sherwin",51,6,-0.710398125473047,-0.711333333333333,71.0463696182639,0.0340168330935516
100,0.3,"beta_L_shaped","wasserstein",15,3,-0.733795892709336,-0.733913043478261,73.3811711807335,0.018473341829992
100,0.3,"beta_L_shaped","wasserstein",15,6,-0.694170418336931,-0.694,69.4256268290511,0.0364348009660675
100,0.3,"beta_L_shaped","wasserstein",51,3,-0.736513500593353,-0.73695652173913,73.6524259552363,0.015420486740179
100,0.3,"beta_L_shaped","wasserstein",51,6,-0.734824730468421,-0.735217391304348,73.4831191615928,0.0118602550108436
100,0.3,"uniform","bhd",15,3,-0.603694367346939,-0.6118,60.4653265158406,0.0876629840537932
100,0.3,"uniform","bhd",15,6,-0.56652,-0.5718,56.7032755089251,0.0567637628514072
100,0.3,"uniform","bhd",51,3,-0.63291412244898,-0.63734693877551,63.3487546742147,0.0749239193734015
100,0.3,"uniform","bhd",51,6,-0.632313306122449,-0.6348,63.2760278423449,0.0660061905738804
100,0.3,"uniform","nll",15,3,-0.671398040816326,-0.673,67.1513937684932,0.0387484076331818
100,0.3,"uniform","nll",15,6,-0.616268734693878,-0.615918367346939,61.6482370291019,0.0431630084722906
100,0.3,"uniform","nll",51,3,-0.705918857142857,-0.71,70.6042666878021,0.0458866163734875
100,0.3,"uniform","nll",51,6,-0.687287836734694,-0.6866,68.7453334262895,0.0492295464930721
100,0.3,"uniform","sherwin",15,3,-0.695776653061224,-0.6962,69.5917552565446,0.0469784285715899
100,0.3,"uniform","sherwin",15,6,-0.658688,-0.6586,65.8874186685048,0.0468352342565868
100,0.3,"uniform","sherwin",51,3,-0.721796897959184,-0.724,72.1865205676019,0.036430914918735
100,0.3,"uniform","sherwin",51,6,-0.708262857142857,-0.7086,70.8356630776839,0.0403217745746704
100,0.3,"uniform","wasserstein",15,3,-0.735302204081633,-0.735510204081633,73.532660326306,0.023096874845502
100,0.3,"uniform","wasserstein",15,6,-0.732297795918367,-0.7314,73.2330998196933,0.0265864385979253
100,0.3,"uniform","wasserstein",51,3,-0.738497142857143,-0.7392,73.8509182326242,0.0164582172588946
100,0.3,"uniform","wasserstein",51,6,-0.735816489795918,-0.73734693877551,73.5846708859557,0.0257634128886243
100,0.7,"beta_L_shaped","bhd",15,3,0.136925915629897,0.146666666666667,14.9533591383156,0.0539487458380727
100,0.7,"beta_L_shaped","bhd",15,6,0.463070601672676,0.442916666666667,49.0554243301309,0.112934079594251
100,0.7,"beta_L_shaped","bhd",51,3,0.190077124041106,0.187446808510638,20.906884599473,0.074668482026334
100,0.7,"beta_L_shaped","bhd",51,6,0.454785131712259,0.460625,47.5493905026269,0.0973754177894561
100,0.7,"beta_L_shaped","nll",15,3,0.0208394195976263,0.0468085106382979,8.69265881984183,0.0843735693004384
100,0.7,"beta_L_shaped","nll",15,6,0.434602121681235,0.428510638297872,48.0843362197722,0.146373984863543
100,0.7,"beta_L_shaped","nll",51,3,0.0811748769720654,0.0854166666666666,12.4332506700711,0.0889018800717905
100,0.7,"beta_L_shaped","nll",51,6,0.530182092198582,0.513958333333333,55.8770942171317,0.117685833053222
100,0.7,"beta_L_shaped","sherwin",15,3,-0.0231563716513432,0,8.89681322964186,0.0897514259976335
100,0.7,"beta_L_shaped","sherwin",15,6,0.409863753327418,0.393061224489796,45.1235895887737,0.136636884394068
100,0.7,"beta_L_shaped","sherwin",51,3,0.0959780503690838,0.100208333333333,13.3276846100408,0.0861131036404591
100,0.7,"beta_L_shaped","sherwin",51,6,0.530174927630627,0.53625,55.3818437462319,0.10678065669057
100,0.7,"beta_L_shaped","wasserstein",15,3,-0.32076711299691,-0.323125,32.1208219673223,0.0252857979982784
100,0.7,"beta_L_shaped","wasserstein",15,6,-0.284232328972292,-0.287391304347826,28.5135597243474,0.0323368105028868
100,0.7,"beta_L_shaped","wasserstein",51,3,-0.31662383485309,-0.318333333333333,31.7024077549936,0.0237842942087049
100,0.7,"beta_L_shaped","wasserstein",51,6,-0.281552641482125,-0.279183673469388,28.2540271068886,0.0335306365772977
100,0.7,"uniform","bhd",15,3,-0.192897795918367,-0.187,19.723395596792,0.0520108739107384
100,0.7,"uniform","bhd",15,6,0.00595200000000001,-0.0136,7.34604764482235,0.07428662848326
100,0.7,"uniform","bhd",51,3,-0.236296,-0.2476,24.0768659090007,0.0617320699163984
100,0.7,"uniform","bhd",51,6,-0.153328,-0.1688,17.2666040668106,0.095710646767732
100,0.7,"uniform","nll",15,3,-0.103764571428571,-0.121,12.0580317072506,0.0699452827272114
100,0.7,"uniform","nll",15,6,0.105584,0.0591999999999999,15.8928794118624,0.10965842444754
100,0.7,"uniform","nll",51,3,-0.158112,-0.1712,16.6037749924528,0.0614473406874921
100,0.7,"uniform","nll",51,6,-0.012224,-0.0434,9.35205645834113,0.0958012194086985
100,0.7,"uniform","sherwin",15,3,-0.149648489795918,-0.1606,15.7105979276299,0.0574060506917331
100,0.7,"uniform","sherwin",15,6,0.061488,0.0383999999999999,13.0293772683118,0.110449917814423
100,0.7,"uniform","sherwin",51,3,-0.188136,-0.2006,19.5448640824131,0.0665807718102003
100,0.7,"uniform","sherwin",51,6,-0.03536,-0.0288,8.93088125550889,0.0867698753272258
100,0.7,"uniform","wasserstein",15,3,-0.357554775510204,-0.3564,35.7820168259133,0.021889692819212
100,0.7,"uniform","wasserstein",15,6,-0.32664,-0.3204,32.7687997949269,0.0396912738676529
100,0.7,"uniform","wasserstein",51,3,-0.387912,-0.3888,38.8029778238733,0.015940341227911
100,0.7,"uniform","wasserstein",51,6,-0.350376,-0.3506,35.0724176526227,0.0245466428881458
500,0.3,"beta_L_shaped","bhd",15,3,-0.332158370068027,-0.32330612244898,167.316697697794,0.0620834487189438
500,0.3,"beta_L_shaped","bhd",15,6,-0.00659712653061225,0.0040408163265306,43.3432835769077,0.0888033744474213
500,0.3,"beta_L_shaped","bhd",51,3,-0.391043945578231,-0.38869387755102,196.279930723058,0.0577649296669397
500,0.3,"beta_L_shaped","bhd",51,6,-0.085888262585034,-0.0819591836734694,68.9968890551637,0.120591466067623
500,0.3,"beta_L_shaped","nll",15,3,-0.35902507755102,-0.349265306122449,180.310673347667,0.0539679585574099
500,0.3,"beta_L_shaped","nll",15,6,0.0167200204081633,-0.000612244897959272,53.3338510772752,0.105753310038674
500,0.3,"beta_L_shaped","nll",51,3,-0.391742857142857,-0.38869387755102,196.945561207343,0.068933645947887
500,0.3,"beta_L_shaped","nll",51,6,-0.0685008244897959,-0.0812653061224489,64.1063710162432,0.118748894131766
500,0.3,"beta_L_shaped","sherwin",15,3,-0.361451678911565,-0.355918367346939,181.487776956934,0.0531058876818994
500,0.3,"beta_L_shaped","sherwin",15,6,-0.0402967972789116,-0.0323265306122449,49.5843299506058,0.0963639636224964
500,0.3,"beta_L_shaped","sherwin",51,3,-0.405722346938776,-0.400244897959184,203.802140164587,0.0671907677004607
500,0.3,"beta_L_shaped","sherwin",51,6,-0.0868353768707483,-0.110612244897959,71.0441392594654,0.125700841898847
500,0.3,"beta_L_shaped","wasserstein",15,3,-0.575878605442177,-0.577387755102041,288.120770422932,0.0492082313265408
500,0.3,"beta_L_shaped","wasserstein",15,6,-0.682121206802721,-0.682530612244898,341.097645173505,0.0322790889770504
500,0.3,"beta_L_shaped","wasserstein",51,3,-0.744881530612245,-0.745142857142857,372.446215660533,0.0161216705513924
500,0.3,"beta_L_shaped","wasserstein",51,6,-0.724287844897959,-0.724204081632653,362.16542019542,0.0292144004425998
500,0.3,"uniform","bhd",15,3,-0.5308272,-0.52312,266.181376208028,0.0878960405646557
500,0.3,"uniform","bhd",15,6,-0.3240704,-0.3342,164.083080419646,0.0780427892166838
500,0.3,"uniform","bhd",51,3,-0.557552,-0.56512,279.288328434971,0.0780096814932295
500,0.3,"uniform","bhd",51,6,-0.4116816,-0.4222,208.911849467664,0.123828307859393
500,0.3,"uniform","nll",15,3,-0.4961664,-0.49676,248.926981229436,0.0829668927089277
500,0.3,"uniform","nll",15,6,-0.2487488,-0.26508,128.643537886673,0.089300717314026
500,0.3,"uniform","nll",51,3,-0.518232,-0.5216,259.676087616862,0.0722239250237568
500,0.3,"uniform","nll",51,6,-0.3416112,-0.33488,173.962126590819,0.102277469274517
500,0.3,"uniform","sherwin",15,3,-0.5107408,-0.51,256.088354909004,0.0799483070007853
500,0.3,"uniform","sherwin",15,6,-0.2795456,-0.29636,142.696434825822,0.0814207354803267
500,0.3,"uniform","sherwin",51,3,-0.531192,-0.53772,266.100429973347,0.0713069202171735
500,0.3,"uniform","sherwin",51,6,-0.3699408,-0.36784,187.940575501939,0.107821820519362
500,0.3,"uniform","wasserstein",15,3,-0.6985312,-0.69768,349.30705744946,0.036438382335738
500,0.3,"uniform","wasserstein",15,6,-0.71648,-0.71544,358.264832323799,0.0303688902515379
500,0.3,"uniform","wasserstein",51,3,-0.7267488,-0.72848,363.397587796067,0.0306662821582742
500,0.3,"uniform","wasserstein",51,6,-0.7103792,-0.71064,355.206823740761,0.0246535096431976
500,0.7,"beta_L_shaped","bhd",15,3,0.68214906122449,0.686938775510204,342.58649933148,0.0390141111734251
500,0.7,"beta_L_shaped","bhd",15,6,2.05388179591837,2.06979591836735,1035.58736901584,0.0892609606740744
500,0.7,"beta_L_shaped","bhd",51,3,0.64692773877551,0.643877551020408,326.166289512983,0.0519313194861233
500,0.7,"beta_L_shaped","bhd",51,6,1.89239608163265,1.9149387755102,952.886764083684,0.0795390515835581
500,0.7,"beta_L_shaped","nll",15,3,0.738964734693878,0.72734693877551,371.051043170479,0.0400076032376529
500,0.7,"beta_L_shaped","nll",15,6,2.16951281632653,2.1288,1092.29599649028,0.0825106721930141
500,0.7,"beta_L_shaped","nll",51,3,0.697042220408163,0.70930612244898,350.678044872965,0.04671116241079
500,0.7,"beta_L_shaped","nll",51,6,2.03454040816327,2.05910204081633,1024.46308113865,0.081517767495913
500,0.7,"beta_L_shaped","sherwin",15,3,0.70793306122449,0.700408163265306,355.691521288276,0.0418159027467975
500,0.7,"beta_L_shaped","sherwin",15,6,2.1269492244898,2.0976,1071.3194252045,0.0844778470513041
500,0.7,"beta_L_shaped","sherwin",51,3,0.683627820408163,0.682897959183673,344.377372176143,0.050849223279222
500,0.7,"beta_L_shaped","sherwin",51,6,1.96718406530612,2.03522448979592,989.982496658607,0.0772578918690452
500,0.7,"beta_L_shaped","wasserstein",15,3,-0.206315102040816,-0.211020408163265,107.094800970147,0.0739968422240527
500,0.7,"beta_L_shaped","wasserstein",15,6,-0.257163755102041,-0.2424,131.491468230488,0.0755901424948911
500,0.7,"beta_L_shaped","wasserstein",51,3,-0.338370906122449,-0.33684,169.279830911599,0.0174370049419276
500,0.7,"beta_L_shaped","wasserstein",51,6,-0.381762808163265,-0.39216,191.463626611537,0.0492619364872387
500,0.7,"uniform","bhd",15,3,0.417208,0.418,213.91433893033,0.0682251793674863
500,0.7,"uniform","bhd",15,6,1.445312,1.4424,729.157637826005,0.0811011332197583
500,0.7,"uniform","bhd",51,3,0.3890624,0.41004,198.656578285241,0.0591840277369939
500,0.7,"uniform","bhd",51,6,1.3789648,1.38736,701.08009481371,0.108965108866469
500,0.7,"uniform","nll",15,3,0.464992,0.473,237.469593843086,0.0673639146005034
500,0.7,"uniform","nll",15,6,1.55264,1.562,783.107796411197,0.0822719608484542
500,0.7,"uniform","nll",51,3,0.4396864,0.44596,223.110632790103,0.0539397638193167
500,0.7,"uniform","nll",51,6,1.5066384,1.51096,764.740352307893,0.107226481820934
500,0.7,"uniform","sherwin",15,3,0.44616,0.4312,228.068600206166,0.0669618110991346
500,0.7,"uniform","sherwin",15,6,1.507088,1.5256,760.317151720254,0.0824447917169734
500,0.7,"uniform","sherwin",51,3,0.4203264,0.43184,213.666937451726,0.0553819081313087
500,0.7,"uniform","sherwin",51,6,1.4380656,1.44128,730.859254882908,0.109633711548729
500,0.7,"uniform","wasserstein",15,3,-0.282128,-0.2794,141.935297935362,0.0446501977129023
500,0.7,"uniform","wasserstein",15,6,-0.263824,-0.258,132.628159905806,0.0381648475347599
500,0.7,"uniform","wasserstein",51,3,-0.3393472,-0.34148,169.839422608533,0.0231830829449183
500,0.7,"uniform","wasserstein",51,6,-0.2616384,-0.26268,133.15019429201,0.0685760821901315
